number,formid,form.sampleid,form.barcode,form.sampleid_no_match,form.sample_type,form.study_type,form.p_location,form.t_location,form.s_location,form.ec_dd,form.ec_th,form.ev_lat_lon,form.ev_way,form.ev_way_deviceID,form.neighbor,form.source_ty_ocean,form.other_source_ocean,form.produce_type,form.produce_quantity,form.water_level,form.water_flow,form.drain_size,form.drain_lining,form.currently_raining,form.rain_last_day,form.feces_near,form.animals_near,form.housolds_present,form.num_households_present,form.schools_present,form.pub_latrines_present,form.hh_latrines_present,form.orn_ag_present,form.businesses_present,form.source_ty,form.other_source,form.containr,form.covered,form.free_cl,form.total_cl,form.surface_source_ty,form.surface_source_ty_other,form.source_dist,form.particle_sample_type,form.particle_sample_type_other,form.swab_surface,form.swab_surface_other,form.source_type,form.source_type_other,form.n_stall,form.vis_fec,form.latrine_user_num,form.hw_stat,form.dis_lat,form.notes,form.collection_enumerator_names,form.@uiVersion,openrosa_headers.HTTP_X_OPENROSA_VERSION,date_header,auth_context.doc_type,auth_context.domain,form.collector_id,auth_context.user_id,_rev,computed_modified_on_,form.meta.location.@xmlns,form.ev_notes,auth_context.authenticated,form.#type,initial_processing_complete,form.sample_weight,path,domain,completed_time,started_time,username,received_on,caseid,case_name
32,b9cc4342-5f3a-430b-bf56-7e3cd0ae7d67,417,417,---,3,---,---,---,---,2016-06-24,11:41:00.000Z,5.55717134 -0.18640807 59.0 4.0,417,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.27,0.42,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 30m of household latrine,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-9775b9fc3f3de15446845a4508055073,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-24 11:45:25,2016-06-24 11:41:27,rkuddy,2016-06-24 11:47:16,---,---
33,bd1dd511-d7f4-4c50-bf40-067c22caade0,443,443,---,1,S,---,---,14,2016-06-28,12:18:00.000Z,5.5624129 -0.18738426 64.0 5.0,14,WRI 0,Ringway,---,---,---,---,1,1,1,1,0,0,0,0,0,---,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 20m of trash dump,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-ec451b328a1b03f29866396ede1fc0aa,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-28 12:20:44,2016-06-28 12:05:17,mchrisk,2016-06-28 12:20:51,---,---
34,bf0ec94f-9dae-43c1-bc88-e9f29e3355fd,820,820,---,1,S,---,---,1,2016-03-23,08:54:00.000Z,5.52600344 -0.2595171 34.0 4.0,0,NA,Shiabu,---,---,---,---,1,1,3,1,0,0,0,0,1,2,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"Mario, Bert Boi, Christian",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-f541387576a3d1c7bbcb7595c0ba380e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-23 08:58:07,2016-03-23 08:51:26,test,2016-03-23 08:58:11,---,---
35,c0a35d0c-0d73-479a-a3b0-26d5b8f82e78,143,143,---,4,---,---,---,---,2016-05-05,09:47:00.000Z,5.52555789 -0.23938981 27.0 3.0,143,WRI 15,Chorkor,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Refuse in and within 3m of water, animals in and within 3m of water","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-b485cdd5bd3525b8462bac415720e92e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-05 09:48:48,2016-05-05 09:46:54,mchrisk,2016-05-05 15:11:43,---,---
36,c3ea0747-02ba-461a-836a-51e283d80555,812,812,---,8,---,---,---,---,2016-03-30,11:26:00.000Z,5.52736887 -0.26135696 32.0 3.0,27,Sp09,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,Within 3m of small open drain,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-2456487a14dcf6ada6367bb3d4d0592f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/a54adb3da96f113565759acec839ac73/,sp-accra,2016-03-30 11:38:27,2016-03-30 11:35:50,test,2016-04-20 08:13:24,---,---
37,c4bd8b46-863f-4945-a054-e1c264852284,425,425,---,2,---,---,---,---,2016-06-22,10:28:00.000Z,5.5622204 -0.18580057 60.0 5.0,425,WRI 2,Ringway,---,---,spring onion,14,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of open drain,"BBNB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-30135aae44d3946cff90748cdc368413,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-22 10:31:24,2016-06-22 10:28:42,rkuddy,2016-06-22 10:33:15,---,---
38,c557cabd-43fe-4612-9b07-627bd646cd7f,399,399,---,8,---,---,---,---,2016-06-23,10:56:00.000Z,5.55393428 -0.18268377 47.0 5.0,399,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,1,---,---,---,---,---,---,---,---,---,8,school play ground sampled and within 3m of open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-96f56160a4803af43b46b874f572351e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-23 10:57:57,2016-06-23 10:55:22,rkuddy,2016-06-23 10:59:54,---,---
39,d6c19ac2-60fa-4af0-a3fa-4fcf67195fee,402,402,---,7,---,---,---,---,2016-06-20,10:30:00.000Z,5.55817563 -0.21477614 33.0 5.0,402,WRI 2,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,2,0,10,1,---,Latrine floor swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-467c3aa6b3d72418519b18117e82c1d1,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-20 10:32:54,2016-06-20 10:30:01,rkuddy,2016-06-20 10:34:46,---,---
40,75596493-9227-4e94-8f0d-9fc515137aec,259,259,---,2,---,---,---,---,2016-06-06,12:10:00.000Z,5.56194819 -0.21284078 37.0 5.0,259,WRI 2,Adabraka,---,---,pepper(red),10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,it rained in the morning.Flies were seen on the samples,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-d1b77b2857e00877945a82d885156617,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-06 23:12:01,2016-06-06 23:09:31,rkuddy,2016-06-06 12:12:56,---,---
41,7d934573-1571-456a-9ad6-9548bf83abbc,775,775,---,7,---,---,---,---,2016-04-27,12:34:00.000Z,5.52849371 -0.25094152 32.0 5.0,2218,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,compound floor,5,---,2,0,6,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-1d01813c01c85104e5d03eafcd7cb0a9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 23:35:42,2016-04-27 23:34:14,rkuddy,2016-04-27 12:36:19,---,---
42,7be1c547-aa8b-4e20-a64e-8cd62078a372,815,815,---,8,---,---,---,---,2016-03-30,11:51:00.000Z,5.52963375 -0.26104297 56.0 6.0,30,Sp09,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,NA,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-2d2ad4ae028e03ab4bf0baeed48a138a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/a54adb3da96f113565759acec839ac73/,sp-accra,2016-03-30 11:52:27,2016-03-30 11:50:41,test,2016-04-20 08:13:31,---,---
43,7ea76789-c444-42dc-8031-e9212846dbbb,327,327,---,1,P,1,---,---,2016-06-15,09:20:00.000Z,5.56319963 -0.20838569 62.0 5.0,26,WRI 2,Adabraka,---,---,---,---,2,2,1,1,0,0,0,0,1,2,1,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of trash,"CKAF,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-b2e3b5d04999326cb455cb98ebfbfb26,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-15 09:21:45,2016-06-15 09:19:26,mchrisk,2016-06-15 09:21:56,---,---
44,80d48572-75b5-43a9-aeab-f90106bd1d11,120,120,---,3,---,---,---,---,2016-05-04,11:00:00.000Z,5.53080699 -0.24516915 9.0 5.0,120,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.1,0.18,---,---,---,---,---,---,---,---,---,---,---,---,---,---,household latrine within 5m,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-e808c2bebcf5444cf05a9e7c989c7cf9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-04 11:15:53,2016-05-04 10:59:56,cafrimpong,2016-06-03 17:10:34,---,---
45,83ff3b1c-a761-46e5-8fd0-3fdedc0a295e,115,115,---,3,---,---,---,---,2016-05-04,11:17:00.000Z,5.52711669 -0.24680994 25.0 4.0,115,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,1,1,0.01,0.06,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of bathroom,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-e9300c9e7cd4c0e0c6ca8eb6a5a739f9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-04 22:21:28,2016-05-04 22:16:25,rkuddy,2016-05-04 11:22:05,---,---
46,846fa4d1-c15f-4f2c-a526-753707d31178,776,776,---,7,---,---,---,---,2016-04-28,09:48:00.000Z,5.52994611 -0.24440008 32.0 5.0,2220,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,8,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-9441dc5072c2b3f21cf39d08a7fd477e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-28 20:51:42,2016-04-28 20:48:12,rkuddy,2016-05-03 09:15:17,---,---
47,81a23a49-033c-49fd-a086-8e4af86c1241,798,798,---,3,---,---,---,---,2016-05-04,12:48:00.000Z,5.53122452 -0.24673881 15.0 5.0,798,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.01,0.11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-fcd7badac4907f347cebd04bce22f1e9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-04 23:52:57,2016-05-04 23:48:29,rkuddy,2016-05-04 12:53:34,---,---
48,82b0a272-d00b-487b-a982-a8f8a4877d32,521,521,---,7,---,---,---,---,2016-07-05,10:40:00.000Z,5.58031232 -0.20714582 67.0 4.0,521,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,Public latrine,4,---,12,5,9999,0,---,latrine floor swabbed,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-47d91fe06bc8a3d1555e52c8c012d208,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-05 10:42:00,2016-07-05 10:40:40,rkuddy,2016-07-05 10:43:56,---,---
49,735f2fc6-9f91-4307-8ac2-3fa8c247eeeb,130,130,---,8,---,---,---,---,2016-05-05,09:37:00.000Z,5.52576677 -0.23838426 5.0 4.0,130,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,2,---,---,---,---,---,---,---,---,---,9999,within 3m of trash,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-35c11e1fc329b71e598d1c8bc3f4995d,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-05 20:38:39,2016-05-05 20:36:53,rkuddy,2016-05-05 09:39:52,---,---
50,63e10c0d-b250-438a-a760-b5ec96bb6d8a,368,368,---,1,T,---,2,---,2016-06-29,10:42:00.000Z,5.56296239 -0.19373819 59.0 5.0,22,WRI4,Ringway,---,---,---,---,2,1,3,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"BNBB, CFK, MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-fa390392d09bcaab294108559a76e450,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-29 10:47:01,2016-06-29 10:41:10,mchrisk,2016-06-29 10:47:12,---,---
51,6457b02c-2371-4987-873c-e9bf848522fc,681,681,---,2,---,---,---,---,2016-04-21,09:23:00.000Z,5.5323595 -0.24004919 46.0 6.0,681,WRI 3,Chorkor,---,---,Green pepper,19,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Vendor within 3m of open drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-18ecd34da3b969850c23389c1d3df527,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-21 09:24:48,2016-04-21 09:20:20,mchrisk,2016-04-21 09:25:54,---,---
52,69e0ece7-dd9b-4d4e-9be7-4d56633baefa,493,493,---,8,---,---,---,---,2016-07-05,12:58:00.000Z,5.57592514 -0.20494088 31.0 4.0,493,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,35,School play ground sampled.within 3m of trash,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-6118b058b6ab36aa40c8109ea8c8a840,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-05 12:59:03,2016-07-05 12:57:48,rkuddy,2016-07-05 13:01:01,---,---
53,69ebcff8-6e01-4334-b9b1-3126a34ff2b8,892,892,---,7,---,---,---,---,2016-03-31,10:26:00.000Z,5.52524515 -0.25412727 15.0 6.0,37,03,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,Public laterine,5,---,5,0,9999,1,---,NA,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-ed80f548e8900827b779fcf437c3838e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-31 10:27:48,2016-03-31 10:25:44,test,2016-06-03 16:51:53,---,---
54,6af68bb0-d8c4-4cd5-a21b-3c92c556fc0f,291,291,---,3,---,---,---,---,2016-06-07,10:13:00.000Z,5.56475479 -0.21231945 47.0 9.0,291,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.05,0.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of open drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-cb6a0aeb55f1ba9a1f4f1b32da4e23ee,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-07 10:25:38,2016-06-07 10:13:05,mchrisk,2016-06-07 14:05:14,---,---
55,6be9b53c-bf83-4396-be00-8d9725bd8ff7,683,683,---,2,---,---,---,---,2016-04-21,09:45:00.000Z,5.52753691 -0.24244714 29.0 6.0,683,WRI 3,Chorkor,---,---,Green pepper,10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-9af3b10b6f2cffe531733bec98c25dc9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-21 09:46:59,2016-04-21 09:35:42,mchrisk,2016-04-21 09:47:04,---,---
56,60c05e88-7556-4dfc-86ca-e8cfbd4cec31,168,168,---,7,---,---,---,---,2016-05-10,10:39:00.000Z,5.52495688 -0.24646971 24.0 5.0,168,WRI 5,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"public latrine,  wall and door handle",5,---,22,22,9999,1,---,no soap at handwash station,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-3a00df7dd6c378693967e213383c5e2f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-10 10:43:12,2016-05-10 10:39:24,cafrimpong,2016-06-03 17:11:46,---,---
57,6f50c5c0-318a-42e0-b52b-37bcb1422994,872,872,---,2,---,---,---,---,2016-03-21,10:48:00.000Z,5.52329723 -0.25456732 37.0 4.0,0,NA,Shiabu,---,---,Peper,11,---,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"Mario, Bert Boi, Christian, Jimmy, Habib",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-036bb322dcc7923e33580ba5f7fe1088,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-21 10:53:22,2016-03-21 10:48:33,test,2016-03-21 10:55:25,---,---
58,89d4ed2a-9c54-4af6-8537-2102a56a4637,263,263,---,3,---,---,---,---,2016-06-07,10:43:00.000Z,5.56080497 -0.21269455 29.0 5.0,263,WRI4,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.0,0.04,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,BNBN,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-d9e643832f447330834c08ac5d9579fd,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-07 10:46:43,2016-06-07 10:42:58,bnbboye,2016-06-07 10:48:33,---,---
59,8c060bd8-f63d-4283-9349-23712927a4be,153,153,---,4,---,---,---,---,2016-05-09,10:06:00.000Z,5.52388685 -0.24884998 15.0 3.0,153,WRI 15,Chorkor,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Pieces of trash present in water,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-6099b59249c1d2d8afe53320199d41b7,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-09 10:07:42,2016-05-09 10:06:24,mchrisk,2016-05-11 11:48:58,---,---
60,8c4b60e9-f382-4f99-aa65-09670b804ef8,703,703,---,7,---,---,---,---,2016-04-26,10:42:00.000Z,5.5325344 -0.2433822 0.0 88.5,227,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,5,---,1,0,2,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-513f9f54f87e6d3b8aba7ac22c083451,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-26 10:44:24,2016-04-26 10:41:52,rkuddy,2016-04-26 10:44:30,---,---
61,8a8828c7-b6f8-42c0-8b0f-975802fadace,298,298,---,7,---,---,---,---,2016-06-08,10:25:00.000Z,5.56457717 -0.21330009 48.0 5.0,298,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"Public laterine, laterine floor",4,---,4,2,9999,1,---,No soap at handwash station,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-0d319e59a77f579c45c11528973b8406,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-08 10:27:01,2016-06-08 10:25:27,mchrisk,2016-06-08 10:27:09,---,---
62,868764a0-ab65-4635-a74a-e2a2d1ee7bd7,464,464,---,2,---,---,---,---,2016-07-04,10:03:00.000Z,5.5801794 -0.2086368 57.0 5.0,464,WRI 4,Kokomlemle,---,---,Green pepper,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within mallata main market,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-642d4a71ea7b77c7fc804819611dd315,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 10:04:31,2016-07-04 10:03:10,mchrisk,2016-07-04 10:04:43,---,---
63,86fa39e9-dbfa-406c-845c-9ba27e8150b7,154,154,---,4,---,---,---,---,2016-05-09,10:14:00.000Z,5.52403139 -0.24767791 27.0 3.0,154,WRI 15,Chorkor,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Refuse heaps on shore,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-2b5f5177548e22fbb8cfe33ee89e4628,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-09 10:15:31,2016-05-09 10:14:19,mchrisk,2016-05-11 11:49:01,---,---
64,8efa7f90-21b8-4265-b433-48ac96241a88,527,527,---,7,---,---,---,---,2016-07-05,12:05:00.000Z,5.5762045 -0.2051702 0.0 43.0,27,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,public school latrine,5,---,1,0,9999,0,---,school latrine used only by the teachers,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-05892aea6b03f8a4cf49698aad890603,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-05 12:09:20,2016-07-05 12:04:48,rkuddy,2016-07-05 12:11:16,---,---
